"","Sample.name","Sex","Biosample.ID","Population.code","Population.name","Superpopulation.code","Superpopulation.name","Population.elastic.ID","Data.collections"
"1764","HG00096","male","SAME123268","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"105","HG00097","female","SAME123267","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1870","HG00099","female","SAME123271","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"107","HG00100","female","SAME125154","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"68","HG00101","male","SAME125153","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1874","HG00102","female","SAME123945","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"109","HG00105","male","SAME123949","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"70","HG00106","female","SAME123948","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1878","HG00107","male","SAME123947","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1772","HG00109","male","SAME125160","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1776","HG00111","female","SAME125340","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"111","HG00112","male","SAME125341","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"72","HG00113","male","SAME125342","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1882","HG00114","male","SAME125343","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1780","HG00116","male","SAME125345","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"113","HG00117","male","SAME125346","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"74","HG00118","female","SAME125347","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1886","HG00119","male","SAME125348","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"76","HG00120","female","SAME122874","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1890","HG00121","female","SAME122873","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1784","HG00123","female","SAME122875","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"78","HG00125","female","SAME122869","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1894","HG00126","male","SAME122872","GBR","British,English","EUR","European Ancestry,West Eurasia (SGDP)","GBR,EnglishSGDP","1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1788","HG00128","female","SAME122868","GBR","British,English","EUR","European Ancestry,West Eurasia (SGDP)","GBR,EnglishSGDP","1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"117","HG00129","male","SAME122867","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1792","HG00130","female","SAME123063","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"119","HG00131","male","SAME123064","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"19","HG00132","female","SAME123061","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1898","HG00133","female","SAME123062","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"27","HG00136","male","SAME123065","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"20","HG00137","female","SAME123066","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1647","HG00138","male","SAME123059","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1651","HG00140","male","SAME124396","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1641","HG00142","male","SAME124818","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"29","HG00143","male","SAME124393","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1655","HG00145","male","SAME124391","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"31","HG00148","male","SAME124388","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"22","HG00149","male","SAME124387","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"33","HG00150","female","SAME124591","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"23","HG00151","male","SAME124592","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1648","HG00154","female","SAME124587","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"35","HG00155","male","SAME124588","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1663","HG00157","male","SAME124590","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1652","HG00159","male","SAME124586","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1667","HG00171","female","SAME124961","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1656","HG00173","female","SAME124960","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
